VIN (1-10);County;City;State;Postal Code;Model Year;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract
1C4RJXP68R;King;Seatac;WA;98188;2024;74;2;3;21;0;33;265145051;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033028402
WA1E2AFY5M;Thurston;Olympia;WA;98502;2021;9 E;2;3;18;0;22;269927080;POINT (-122.92333 47.03779);PUGET SOUND ENERGY INC;53067012002
JTMCB3FVXR;King;Seatac;WA;98188;2024;141 PRIME;2;1;42;0;33;269616000;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033028300
JTMAB3FVXP;Clark;Vancouver;WA;98685;2023;141 PRIME;2;1;42;0;49;234928704;POINT (-122.70303 45.70954);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040904
JM3KKEHAXR;King;Black Diamond;WA;98010;2024;93;2;3;26;0;5;249672951;POINT (-122.00143 47.30893);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033031603
7SAYGDEE6P;Snohomish;Bothell;WA;98012;2023;134;1;2;0;0;44;254901552;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052010
1G1RD6E4XF;King;Renton;WA;98059;2015;39;2;1;38;0;11;348105971;POINT (-122.15734 47.48718);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033025101
YV4ED3GB4N;King;Seattle;WA;98105;2022;147;1;2;0;0;46;205941711;POINT (-122.31307 47.66127);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033004101
1GYKPRRL0S;King;Seattle;WA;98122;2025;32;1;2;0;0;43;273010580;POINT (-122.31009 47.60803);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033008401
YV4H60DL6R;Thurston;Olympia;WA;98501;2024;154;2;1;35;0;22;272944031;POINT (-122.89166 47.03956);PUGET SOUND ENERGY INC;53067010700
5YJ3E1EA9N;King;Seattle;WA;98144;2022;131;1;2;0;0;37;218383868;POINT (-122.30866 47.57874);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);5303300942
